"","department","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"10473","Sales & Marketing","Bachelor's","m","other",1,28,3,4,"No",50,"Non-Promotion"
"10475","Analytics","Bachelor's","m","other",1,30,3,2,"No",91,"Promotion"
"10476","Sales & Marketing","Bachelor's","m","other",2,36,1,9,"No",49,"Non-Promotion"
"10477","Sales & Marketing","Bachelor's","m","other",1,32,3,2,"No",52,"Non-Promotion"
"10478","Sales & Marketing","Bachelor's","m","other",1,44,3,4,"No",55,"Non-Promotion"
"10479","Operations","Bachelor's","f","other",1,32,3,3,"No",59,"Promotion"
"10480","Sales & Marketing","Master's & above","m","other",3,32,3,6,"No",49,"Non-Promotion"
"10485","Procurement","Bachelor's","m","sourcing",1,50,4,18,"No",67,"Non-Promotion"
"10492","Technology","Bachelor's","m","other",1,30,3,4,"No",82,"Non-Promotion"
"10495","Sales & Marketing","Bachelor's","f","other",1,27,5,5,"No",49,"Non-Promotion"
"10496","Procurement","Bachelor's","m","other",1,37,3,8,"No",69,"Non-Promotion"
"10497","Sales & Marketing","Bachelor's","f","other",1,26,1,6,"No",49,"Non-Promotion"
"10498","Analytics","Master's & above","m","other",1,42,1,13,"No",86,"Non-Promotion"
"10499","Operations","Bachelor's","f","sourcing",1,36,4,3,"No",53,"Non-Promotion"
"10500","Finance","Bachelor's","f","other",1,28,2,3,"No",59,"Non-Promotion"
"10502","Procurement","Bachelor's","m","sourcing",1,34,2,7,"No",68,"Non-Promotion"
"10504","Sales & Marketing","Master's & above","m","referred",1,37,3,9,"No",48,"Promotion"
"10505","Operations","Master's & above","m","other",1,36,4,10,"No",60,"Non-Promotion"
"10506","Operations","Bachelor's","m","sourcing",1,34,5,9,"No",57,"Non-Promotion"
"10507","Operations","Bachelor's","m","other",1,31,3,6,"No",59,"Non-Promotion"
"10508","Procurement","Bachelor's","f","other",1,28,3,4,"Yes",80,"Promotion"
"10509","Procurement","Bachelor's","m","sourcing",1,46,3,4,"No",67,"Non-Promotion"
"10514","Sales & Marketing","Bachelor's","m","other",1,41,3,6,"No",49,"Non-Promotion"
"10517","Sales & Marketing","Bachelor's","m","other",3,36,3,10,"No",49,"Non-Promotion"
"10518","Procurement","Master's & above","m","sourcing",1,40,2,9,"No",66,"Non-Promotion"
"10519","Legal","Bachelor's","m","other",1,29,4,2,"No",60,"Non-Promotion"
"10520","Sales & Marketing","Bachelor's","m","other",1,38,3,9,"No",54,"Non-Promotion"
"10524","Analytics","Bachelor's","m","sourcing",1,27,5,8,"No",85,"Promotion"
"10526","Operations","Bachelor's","m","sourcing",2,24,5,2,"No",63,"Non-Promotion"
"10528","Sales & Marketing","Master's & above","m","other",1,34,3,8,"No",84,"Promotion"
"10533","Procurement","Bachelor's","f","other",1,32,3,7,"No",65,"Non-Promotion"
"10542","Sales & Marketing","Master's & above","m","sourcing",1,33,4,2,"No",53,"Non-Promotion"
"10543","HR","Bachelor's","m","sourcing",2,32,4,6,"No",48,"Non-Promotion"
"10548","Sales & Marketing","Bachelor's","m","other",1,29,1,9,"No",51,"Non-Promotion"
"10554","Procurement","Bachelor's","m","sourcing",1,35,5,7,"No",87,"Promotion"
"10557","Analytics","Bachelor's","m","other",1,39,1,3,"No",82,"Non-Promotion"
"10559","Sales & Marketing","Bachelor's","m","other",1,39,1,4,"No",51,"Non-Promotion"
"10562","Sales & Marketing","Bachelor's","f","sourcing",1,33,3,9,"No",49,"Non-Promotion"
"10568","HR","Bachelor's","f","referred",1,44,3,12,"No",49,"Non-Promotion"
"10569","Sales & Marketing","Master's & above","m","other",1,59,1,17,"No",48,"Non-Promotion"
"10571","Sales & Marketing","Bachelor's","m","sourcing",1,36,5,6,"No",47,"Non-Promotion"
"10572","Sales & Marketing","Master's & above","f","other",1,35,4,10,"No",53,"Non-Promotion"
"10573","Operations","Bachelor's","f","other",1,43,5,12,"No",60,"Non-Promotion"
"10577","Sales & Marketing","Bachelor's","f","other",1,36,3,10,"No",48,"Non-Promotion"
"10579","Technology","Bachelor's","m","sourcing",1,36,3,3,"No",77,"Non-Promotion"
"10580","Finance","Bachelor's","m","sourcing",1,37,5,3,"No",66,"Non-Promotion"
"10583","Operations","Bachelor's","m","sourcing",2,24,4,2,"No",59,"Non-Promotion"
"10585","Sales & Marketing","Master's & above","m","sourcing",1,46,3,7,"No",46,"Non-Promotion"
"10588","Operations","Master's & above","m","other",2,33,3,8,"No",59,"Non-Promotion"
"10591","Sales & Marketing","Master's & above","m","sourcing",1,47,3,3,"No",51,"Non-Promotion"
"10592","Sales & Marketing","Bachelor's","f","sourcing",1,28,2,2,"No",50,"Non-Promotion"
"10599","Analytics","Master's & above","m","other",1,29,5,2,"No",83,"Non-Promotion"
"10600","Analytics","Master's & above","m","sourcing",1,58,3,4,"No",83,"Non-Promotion"
"10605","Technology","Bachelor's","f","other",1,32,1,4,"No",85,"Non-Promotion"
"10610","Procurement","Bachelor's","f","sourcing",3,28,3,8,"No",68,"Non-Promotion"
"10611","Technology","Bachelor's","f","sourcing",1,26,4,2,"No",81,"Non-Promotion"
"10612","Operations","Master's & above","f","sourcing",1,33,5,8,"No",60,"Non-Promotion"
"10614","Procurement","Master's & above","f","sourcing",1,34,5,7,"No",64,"Non-Promotion"
"10615","Analytics","Bachelor's","m","sourcing",1,32,3,6,"No",85,"Non-Promotion"
"10617","Technology","Bachelor's","f","other",1,32,1,5,"No",82,"Non-Promotion"
"10620","Sales & Marketing","Bachelor's","m","other",1,48,3,4,"No",47,"Non-Promotion"
"10624","Sales & Marketing","Bachelor's","m","sourcing",1,52,2,2,"No",48,"Non-Promotion"
"10626","Technology","Master's & above","m","other",1,59,3,27,"No",77,"Non-Promotion"
"10627","Technology","Bachelor's","f","sourcing",1,27,3,2,"No",76,"Non-Promotion"
"10631","Analytics","Bachelor's","f","other",1,26,5,2,"No",85,"Non-Promotion"
"10633","Finance","Bachelor's","f","other",1,25,4,3,"No",61,"Non-Promotion"
"10635","Sales & Marketing","Master's & above","m","sourcing",1,34,2,10,"No",49,"Non-Promotion"
"10639","Procurement","Bachelor's","m","sourcing",1,35,2,6,"No",72,"Non-Promotion"
"10641","HR","Below Secondary","f","other",1,20,3,1,"No",51,"Non-Promotion"
"10642","Operations","Master's & above","f","other",1,32,5,7,"No",59,"Non-Promotion"
"10644","Sales & Marketing","Bachelor's","m","other",2,37,3,10,"No",46,"Non-Promotion"
"10646","Technology","Bachelor's","m","sourcing",1,28,3,4,"No",85,"Non-Promotion"
"10652","Analytics","Master's & above","m","other",1,39,3,12,"No",81,"Non-Promotion"
"10653","Operations","Master's & above","m","referred",1,41,5,4,"No",61,"Non-Promotion"
"10655","Sales & Marketing","Bachelor's","m","sourcing",1,46,4,18,"No",44,"Non-Promotion"
"10657","Analytics","Bachelor's","f","sourcing",1,28,5,4,"No",83,"Promotion"
"10658","Procurement","Master's & above","m","other",2,52,3,9,"No",75,"Non-Promotion"
"10661","Sales & Marketing","Bachelor's","m","other",1,28,3,2,"No",50,"Non-Promotion"
"10667","Operations","Master's & above","m","other",1,35,5,6,"No",59,"Non-Promotion"
"10668","Technology","Bachelor's","m","other",1,26,5,3,"Yes",80,"Promotion"
"10669","Sales & Marketing","Bachelor's","f","sourcing",1,28,1,4,"No",52,"Non-Promotion"
"10670","Sales & Marketing","Master's & above","f","sourcing",1,59,4,16,"No",47,"Non-Promotion"
"10671","Sales & Marketing","Bachelor's","m","sourcing",1,41,5,13,"No",92,"Promotion"
"10673","Sales & Marketing","Bachelor's","m","sourcing",1,30,5,5,"No",47,"Non-Promotion"
"10676","Legal","Bachelor's","m","other",1,32,4,2,"No",62,"Non-Promotion"
"10678","Operations","Bachelor's","f","sourcing",1,34,4,3,"No",61,"Non-Promotion"
"10679","Procurement","Master's & above","m","other",1,51,5,17,"No",71,"Non-Promotion"
"10680","Technology","Below Secondary","m","sourcing",2,24,4,3,"No",81,"Promotion"
"10681","Technology","Master's & above","f","other",1,57,5,14,"No",77,"Non-Promotion"
"10684","Procurement","Bachelor's","f","other",1,29,3,4,"No",63,"Non-Promotion"
"10685","Finance","Bachelor's","m","other",2,28,4,2,"No",60,"Non-Promotion"
"10686","Technology","Bachelor's","f","sourcing",2,25,4,4,"No",79,"Non-Promotion"
"10687","Sales & Marketing","Bachelor's","m","other",2,27,4,4,"No",53,"Promotion"
"10690","Operations","Bachelor's","f","sourcing",1,45,4,4,"No",57,"Non-Promotion"
"10691","Procurement","Master's & above","f","sourcing",1,37,3,4,"No",69,"Non-Promotion"
"10696","Legal","Bachelor's","m","other",1,38,3,8,"No",57,"Non-Promotion"
"10698","Procurement","Bachelor's","f","sourcing",2,29,3,2,"No",70,"Non-Promotion"
"10700","Sales & Marketing","Bachelor's","m","sourcing",1,37,3,9,"No",46,"Non-Promotion"
"10702","Technology","Master's & above","m","sourcing",1,31,4,2,"No",83,"Non-Promotion"
"10704","Operations","Bachelor's","f","sourcing",1,27,4,2,"No",61,"Non-Promotion"
"10711","HR","Bachelor's","f","other",1,28,2,6,"No",50,"Non-Promotion"
"10714","Operations","Master's & above","m","sourcing",1,32,3,7,"No",61,"Non-Promotion"
"10715","Technology","Bachelor's","m","other",1,30,1,3,"Yes",81,"Non-Promotion"
"10717","Operations","Master's & above","m","other",1,37,5,11,"No",57,"Non-Promotion"
"10721","Procurement","Bachelor's","m","sourcing",1,31,3,3,"No",75,"Non-Promotion"
"10725","R&D","Master's & above","m","other",2,38,1,8,"No",81,"Non-Promotion"
"10726","Analytics","Bachelor's","m","other",2,29,5,2,"No",84,"Promotion"
"10728","Sales & Marketing","Master's & above","m","sourcing",1,57,2,3,"No",54,"Non-Promotion"
"10730","Sales & Marketing","Bachelor's","f","other",1,40,2,5,"No",46,"Non-Promotion"
"10733","Operations","Master's & above","m","other",1,41,3,19,"No",60,"Non-Promotion"
"10735","Finance","Master's & above","m","sourcing",1,34,3,7,"No",57,"Non-Promotion"
"10736","Operations","Bachelor's","f","other",1,37,3,10,"No",66,"Non-Promotion"
"10737","HR","Bachelor's","f","other",1,30,3,3,"No",50,"Non-Promotion"
"10738","Sales & Marketing","Master's & above","m","other",1,34,3,8,"No",54,"Promotion"
"10742","Legal","Bachelor's","m","sourcing",1,29,3,4,"No",63,"Non-Promotion"
"10744","Operations","Master's & above","m","other",1,31,3,6,"No",60,"Non-Promotion"
"10745","Operations","Bachelor's","f","sourcing",1,40,4,6,"No",58,"Non-Promotion"
"10746","Sales & Marketing","Bachelor's","m","referred",1,37,4,6,"No",49,"Non-Promotion"
"10748","Operations","Bachelor's","m","sourcing",1,27,5,3,"No",58,"Non-Promotion"
"10754","Sales & Marketing","Bachelor's","m","other",1,30,3,7,"No",44,"Non-Promotion"
"10755","Operations","Bachelor's","m","other",1,44,3,6,"No",63,"Non-Promotion"
"10756","Technology","Master's & above","m","other",2,34,3,8,"No",71,"Non-Promotion"
"10758","Analytics","Bachelor's","m","other",1,30,1,5,"No",86,"Non-Promotion"
"10759","Sales & Marketing","Master's & above","m","sourcing",1,34,5,8,"No",51,"Non-Promotion"
"10760","Procurement","Master's & above","f","other",1,30,3,5,"No",82,"Promotion"
"10765","HR","Master's & above","m","sourcing",1,38,3,8,"No",50,"Non-Promotion"
"10768","Procurement","Master's & above","f","other",1,38,3,5,"No",71,"Non-Promotion"
"10769","Operations","Bachelor's","f","sourcing",1,32,3,9,"No",61,"Non-Promotion"
"10773","HR","Bachelor's","f","other",1,59,3,17,"No",48,"Non-Promotion"
"10774","Technology","Master's & above","m","other",2,34,3,7,"No",82,"Non-Promotion"
"10776","Finance","Bachelor's","m","sourcing",1,36,2,3,"No",64,"Non-Promotion"
"10779","Operations","Bachelor's","m","other",1,28,3,4,"No",61,"Non-Promotion"
"10787","Procurement","Bachelor's","m","sourcing",1,39,3,7,"Yes",94,"Promotion"
"10790","HR","Bachelor's","m","other",1,35,3,5,"No",54,"Non-Promotion"
"10800","Operations","Bachelor's","f","other",1,29,3,4,"No",64,"Non-Promotion"
"10801","Sales & Marketing","Master's & above","m","other",1,31,3,5,"No",52,"Non-Promotion"
"10806","Operations","Master's & above","m","sourcing",1,34,3,4,"No",58,"Non-Promotion"
"10810","Sales & Marketing","Bachelor's","m","other",1,31,2,5,"No",53,"Non-Promotion"
"10811","Technology","Bachelor's","f","sourcing",1,30,5,2,"No",81,"Non-Promotion"
"10814","Sales & Marketing","Bachelor's","m","other",1,25,1,2,"No",53,"Non-Promotion"
"10815","Sales & Marketing","Master's & above","f","other",1,46,2,17,"No",50,"Non-Promotion"
"10818","Procurement","Master's & above","f","sourcing",1,43,3,3,"No",74,"Non-Promotion"
"10819","HR","Bachelor's","m","other",1,33,5,8,"No",47,"Non-Promotion"
"10820","Procurement","Master's & above","m","sourcing",1,35,3,7,"No",70,"Promotion"
"10823","Operations","Bachelor's","f","sourcing",1,39,5,5,"No",57,"Non-Promotion"
"10825","Analytics","Bachelor's","f","other",1,36,5,8,"No",86,"Non-Promotion"
"10830","Sales & Marketing","Bachelor's","m","other",1,39,3,4,"No",51,"Non-Promotion"
"10833","Procurement","Bachelor's","m","sourcing",1,50,2,12,"No",73,"Non-Promotion"
"10834","Sales & Marketing","Bachelor's","m","sourcing",4,36,2,7,"No",51,"Non-Promotion"
"10838","Operations","Bachelor's","m","other",1,36,5,10,"No",63,"Non-Promotion"
"10842","Procurement","Bachelor's","f","sourcing",1,30,1,2,"No",69,"Non-Promotion"
"10846","Sales & Marketing","Master's & above","m","sourcing",1,38,1,3,"No",55,"Non-Promotion"
"10847","Operations","Master's & above","m","sourcing",2,37,5,9,"No",57,"Non-Promotion"
"10854","Analytics","Bachelor's","m","other",2,30,5,6,"No",85,"Non-Promotion"
"10856","Sales & Marketing","Bachelor's","m","sourcing",1,31,3,6,"No",47,"Non-Promotion"
"10861","Procurement","Master's & above","m","other",1,42,5,3,"No",69,"Promotion"
"10865","Analytics","Bachelor's","m","sourcing",2,36,5,4,"No",86,"Non-Promotion"
"10867","Technology","Master's & above","m","sourcing",1,33,4,10,"No",78,"Non-Promotion"
"10868","Operations","Bachelor's","f","other",1,27,4,4,"No",60,"Non-Promotion"
"10869","Technology","Bachelor's","m","sourcing",1,39,3,7,"No",77,"Non-Promotion"
"10870","Analytics","Bachelor's","m","other",1,28,5,6,"No",90,"Promotion"
"10872","Sales & Marketing","Bachelor's","m","sourcing",1,32,3,6,"No",47,"Non-Promotion"
"10877","Technology","Bachelor's","m","sourcing",1,31,4,8,"No",81,"Non-Promotion"
"10878","HR","Bachelor's","f","other",1,29,4,3,"No",51,"Non-Promotion"
"10879","Analytics","Bachelor's","m","other",1,29,3,4,"No",85,"Non-Promotion"
"10880","Operations","Bachelor's","m","sourcing",1,29,3,4,"No",59,"Non-Promotion"
"10883","Sales & Marketing","Bachelor's","m","other",3,36,2,10,"No",46,"Non-Promotion"
"10884","Operations","Bachelor's","f","other",1,37,4,4,"No",62,"Non-Promotion"
"10885","Procurement","Bachelor's","f","other",1,31,4,7,"No",69,"Non-Promotion"
"10886","Operations","Bachelor's","m","other",2,32,5,3,"No",59,"Non-Promotion"
"10887","Operations","Master's & above","m","other",1,45,3,14,"No",53,"Promotion"
"10889","Sales & Marketing","Bachelor's","m","other",1,29,2,3,"No",51,"Non-Promotion"
"10893","Sales & Marketing","Bachelor's","m","other",3,25,1,3,"No",47,"Non-Promotion"
"10905","Technology","Bachelor's","m","sourcing",2,48,5,15,"No",78,"Promotion"
"10906","Sales & Marketing","Bachelor's","m","sourcing",1,31,1,3,"No",49,"Non-Promotion"
"10909","Technology","Bachelor's","f","sourcing",1,30,5,3,"No",79,"Non-Promotion"
"10910","Sales & Marketing","Master's & above","m","other",1,43,1,13,"No",49,"Non-Promotion"
"10914","Sales & Marketing","Bachelor's","f","other",1,36,3,5,"No",50,"Non-Promotion"
"10917","Sales & Marketing","Bachelor's","m","sourcing",1,26,1,3,"No",50,"Non-Promotion"
"10920","Operations","Master's & above","f","other",1,37,5,9,"No",63,"Non-Promotion"
"10921","Operations","Bachelor's","f","other",1,28,1,4,"No",60,"Non-Promotion"
"10923","Sales & Marketing","Bachelor's","m","other",3,48,3,19,"No",51,"Non-Promotion"
"10925","Technology","Master's & above","f","sourcing",1,35,2,9,"No",76,"Non-Promotion"
"10927","Analytics","Bachelor's","m","sourcing",1,26,3,4,"No",83,"Non-Promotion"
"10928","Finance","Bachelor's","f","sourcing",1,29,1,5,"No",65,"Non-Promotion"
"10929","Technology","Bachelor's","m","referred",1,34,5,2,"No",82,"Non-Promotion"
"10937","Technology","Bachelor's","m","sourcing",1,27,4,4,"No",81,"Non-Promotion"
"10939","Operations","Bachelor's","m","other",1,39,3,11,"No",60,"Non-Promotion"
"10940","Operations","Master's & above","f","other",2,39,5,6,"No",55,"Non-Promotion"
"10941","Operations","Bachelor's","m","other",1,30,3,7,"Yes",57,"Non-Promotion"
"10942","Technology","Master's & above","m","other",1,35,3,10,"No",78,"Non-Promotion"
"10944","Procurement","Bachelor's","m","sourcing",1,28,3,5,"No",71,"Non-Promotion"
"10945","Operations","Master's & above","m","other",2,36,5,8,"No",63,"Non-Promotion"
"10947","Operations","Bachelor's","f","sourcing",1,33,3,5,"No",58,"Non-Promotion"
"10951","Operations","Bachelor's","f","other",1,30,3,6,"No",64,"Non-Promotion"
"10952","Procurement","Master's & above","m","sourcing",1,46,4,16,"No",73,"Non-Promotion"
"10955","Procurement","Bachelor's","m","other",2,41,3,4,"No",68,"Non-Promotion"
"10956","Sales & Marketing","Master's & above","m","other",1,30,4,3,"No",54,"Non-Promotion"
"10957","Operations","Bachelor's","m","sourcing",1,33,3,7,"No",62,"Non-Promotion"
"10958","Procurement","Bachelor's","f","other",1,42,5,3,"No",77,"Promotion"
"10959","Analytics","Bachelor's","m","other",1,37,3,7,"No",85,"Non-Promotion"
"10961","Sales & Marketing","Bachelor's","m","other",2,36,2,4,"No",53,"Non-Promotion"
"10963","Operations","Master's & above","m","other",2,39,3,9,"No",95,"Promotion"
"10964","Procurement","Bachelor's","f","sourcing",1,30,4,7,"No",68,"Non-Promotion"
"10971","Procurement","Bachelor's","f","other",1,36,2,8,"No",86,"Promotion"
"10973","Analytics","Master's & above","m","other",1,36,1,7,"No",88,"Non-Promotion"
"10975","Technology","Bachelor's","m","sourcing",1,27,3,4,"No",78,"Promotion"
"10977","Procurement","Master's & above","m","sourcing",2,38,5,9,"No",71,"Non-Promotion"
"10978","Sales & Marketing","Bachelor's","m","other",2,40,5,6,"No",45,"Non-Promotion"
"10982","Procurement","Bachelor's","f","other",3,37,3,3,"No",74,"Non-Promotion"
"10983","Sales & Marketing","Bachelor's","m","other",1,36,5,7,"No",44,"Non-Promotion"
"10984","Operations","Bachelor's","m","other",1,32,3,5,"No",57,"Non-Promotion"
"10988","Procurement","Bachelor's","f","sourcing",1,25,5,1,"No",67,"Non-Promotion"
"10993","Finance","Bachelor's","m","other",2,35,5,9,"No",62,"Non-Promotion"
"10995","Analytics","Bachelor's","m","sourcing",1,27,5,5,"No",82,"Non-Promotion"
"11000","Procurement","Bachelor's","f","other",1,27,1,3,"No",69,"Non-Promotion"
"11001","Operations","Master's & above","f","other",1,35,3,4,"No",59,"Non-Promotion"
"11003","Sales & Marketing","Master's & above","f","sourcing",1,33,3,4,"No",51,"Non-Promotion"
"11005","Procurement","Master's & above","f","other",3,51,5,11,"No",67,"Non-Promotion"
"11010","Technology","Bachelor's","f","other",1,30,3,4,"No",79,"Non-Promotion"
"11011","Sales & Marketing","Bachelor's","m","other",2,26,3,3,"No",67,"Promotion"
"11014","Operations","Bachelor's","m","sourcing",1,32,3,6,"No",57,"Non-Promotion"
"11015","Operations","Bachelor's","m","other",1,35,4,5,"No",61,"Non-Promotion"
"11016","Operations","Bachelor's","f","sourcing",1,32,4,3,"No",62,"Non-Promotion"
"11017","Finance","Bachelor's","m","sourcing",1,24,5,3,"No",62,"Promotion"
"11020","Operations","Master's & above","f","sourcing",1,37,4,2,"No",62,"Non-Promotion"
"11024","Procurement","Bachelor's","f","sourcing",3,32,3,8,"No",72,"Non-Promotion"
"11026","Procurement","Bachelor's","m","sourcing",1,53,3,13,"No",70,"Non-Promotion"
"11027","Technology","Bachelor's","m","sourcing",1,25,1,2,"No",81,"Non-Promotion"
"11030","Operations","Master's & above","m","other",1,37,5,13,"No",60,"Non-Promotion"
"11040","HR","Master's & above","m","sourcing",1,46,4,18,"No",54,"Non-Promotion"
"11041","Procurement","Bachelor's","m","other",2,48,5,5,"No",68,"Non-Promotion"
"11045","Procurement","Bachelor's","m","sourcing",1,32,4,3,"No",68,"Non-Promotion"
"11051","Operations","Master's & above","f","sourcing",1,37,3,9,"No",57,"Non-Promotion"
"11054","Operations","Bachelor's","m","sourcing",1,36,3,10,"No",61,"Non-Promotion"
"11055","Operations","Master's & above","f","other",1,40,3,11,"No",56,"Non-Promotion"
"11056","Technology","Bachelor's","m","sourcing",3,28,3,2,"No",78,"Non-Promotion"
"11058","Sales & Marketing","Master's & above","m","other",2,45,5,16,"No",49,"Non-Promotion"
"11062","Operations","Master's & above","f","other",1,43,3,5,"No",62,"Non-Promotion"
"11063","Sales & Marketing","Bachelor's","m","sourcing",2,34,2,2,"No",48,"Non-Promotion"
"11064","HR","Bachelor's","f","other",1,28,3,2,"No",47,"Non-Promotion"
"11067","Finance","Bachelor's","f","other",2,35,5,4,"No",61,"Non-Promotion"
"11068","Operations","Bachelor's","f","other",1,36,3,3,"No",62,"Non-Promotion"
"11069","Analytics","Bachelor's","m","sourcing",1,31,1,7,"No",84,"Non-Promotion"
"11071","Technology","Master's & above","m","other",1,43,2,3,"No",78,"Non-Promotion"
"11072","Finance","Bachelor's","f","other",1,37,4,2,"No",59,"Non-Promotion"
"11075","Technology","Bachelor's","m","other",1,31,5,6,"No",80,"Promotion"
"11077","Procurement","Bachelor's","m","sourcing",1,34,5,5,"No",74,"Non-Promotion"
"11079","Operations","Below Secondary","m","other",1,24,3,2,"No",60,"Non-Promotion"
"11085","Operations","Master's & above","f","sourcing",1,43,3,10,"No",56,"Non-Promotion"
"11086","Technology","Master's & above","m","other",1,32,4,7,"No",80,"Non-Promotion"
"11087","Technology","Bachelor's","m","sourcing",1,50,3,23,"No",83,"Non-Promotion"
"11088","Sales & Marketing","Bachelor's","m","other",1,36,4,7,"No",50,"Non-Promotion"
"11090","Analytics","Master's & above","m","other",1,44,3,5,"No",87,"Non-Promotion"
"11091","Procurement","Bachelor's","f","other",1,27,3,2,"No",70,"Non-Promotion"
"11092","Technology","Bachelor's","m","other",1,29,3,4,"No",83,"Non-Promotion"
"11093","Procurement","Master's & above","f","other",1,32,2,3,"No",68,"Non-Promotion"
"11097","Finance","Master's & above","m","other",1,35,2,7,"No",56,"Non-Promotion"
"11099","Finance","Master's & above","f","other",1,35,3,8,"No",58,"Non-Promotion"
"11101","Operations","Master's & above","f","sourcing",1,45,2,6,"No",65,"Non-Promotion"
"11106","Procurement","Bachelor's","f","sourcing",1,33,4,5,"No",69,"Non-Promotion"
"11114","Operations","Bachelor's","f","sourcing",1,56,2,11,"No",57,"Non-Promotion"
"11120","Procurement","Master's & above","f","other",1,32,2,8,"No",68,"Non-Promotion"
"11126","Sales & Marketing","Master's & above","m","other",1,43,1,13,"No",49,"Non-Promotion"
"11127","Sales & Marketing","Bachelor's","m","other",2,26,4,3,"No",46,"Promotion"
"11128","Procurement","Bachelor's","m","sourcing",1,36,5,3,"No",66,"Non-Promotion"
"11129","Sales & Marketing","Bachelor's","m","other",3,28,3,6,"No",49,"Non-Promotion"
"11131","Sales & Marketing","Bachelor's","m","other",3,35,2,6,"No",50,"Non-Promotion"
"11133","Sales & Marketing","Bachelor's","m","sourcing",1,29,5,4,"No",47,"Non-Promotion"
"11139","Technology","Master's & above","m","other",1,33,2,4,"No",91,"Promotion"
"11141","Sales & Marketing","Master's & above","m","referred",1,38,5,8,"No",47,"Non-Promotion"
"11142","R&D","Bachelor's","m","other",2,48,4,20,"No",86,"Non-Promotion"
"11143","Sales & Marketing","Master's & above","m","referred",1,38,5,2,"No",50,"Promotion"
"11145","Sales & Marketing","Bachelor's","m","other",1,34,4,7,"No",52,"Non-Promotion"
"11154","Procurement","Bachelor's","f","other",1,30,3,5,"No",66,"Non-Promotion"
"11155","Operations","Bachelor's","m","sourcing",1,42,3,12,"No",58,"Non-Promotion"
"11156","Operations","Bachelor's","m","other",1,49,5,15,"No",55,"Non-Promotion"
"11157","Finance","Master's & above","m","other",1,34,4,7,"No",70,"Promotion"
"11158","HR","Master's & above","m","sourcing",1,32,3,5,"No",46,"Non-Promotion"
"11159","Sales & Marketing","Bachelor's","m","other",2,41,3,3,"No",50,"Non-Promotion"
"11161","HR","Master's & above","f","other",1,51,1,26,"No",55,"Non-Promotion"
"11165","Sales & Marketing","Bachelor's","m","sourcing",1,27,5,2,"No",50,"Non-Promotion"
"11166","Technology","Master's & above","f","other",1,41,3,7,"No",79,"Non-Promotion"
"11173","Procurement","Bachelor's","m","other",1,44,4,18,"No",73,"Non-Promotion"
"11181","Operations","Bachelor's","m","other",1,39,5,3,"No",63,"Non-Promotion"
"11183","Analytics","Bachelor's","f","other",2,29,5,4,"No",84,"Non-Promotion"
"11187","Finance","Master's & above","f","sourcing",1,35,3,5,"No",61,"Non-Promotion"
"11188","HR","Master's & above","m","sourcing",1,31,2,5,"No",50,"Non-Promotion"
"11189","Sales & Marketing","Bachelor's","m","other",1,32,3,2,"No",77,"Promotion"
"11191","Sales & Marketing","Bachelor's","m","sourcing",1,28,5,6,"No",50,"Non-Promotion"
"11193","Operations","Master's & above","m","sourcing",1,34,3,2,"No",57,"Non-Promotion"
"11195","Operations","Bachelor's","m","other",2,31,5,2,"No",61,"Non-Promotion"
"11198","Procurement","Master's & above","m","sourcing",3,35,3,4,"No",65,"Non-Promotion"
"11205","Procurement","Master's & above","m","sourcing",1,34,4,5,"No",66,"Non-Promotion"
"11208","Operations","Master's & above","f","sourcing",1,41,3,15,"No",60,"Non-Promotion"
"11211","Sales & Marketing","Bachelor's","m","sourcing",2,28,1,2,"No",45,"Non-Promotion"
"11213","Legal","Bachelor's","m","sourcing",1,32,5,7,"No",59,"Non-Promotion"
"11214","Technology","Bachelor's","f","sourcing",1,34,3,5,"No",77,"Non-Promotion"
"11216","Technology","Master's & above","m","referred",1,44,3,4,"No",78,"Non-Promotion"
"11219","Operations","Bachelor's","f","sourcing",1,56,5,15,"No",64,"Non-Promotion"
"11220","Finance","Bachelor's","m","other",1,29,3,2,"No",60,"Non-Promotion"
"11222","Technology","Bachelor's","m","other",1,40,2,6,"No",77,"Non-Promotion"
"11223","Legal","Bachelor's","m","sourcing",1,41,3,6,"No",58,"Non-Promotion"
"11225","Finance","Bachelor's","f","sourcing",2,27,2,4,"No",59,"Non-Promotion"
"11231","Sales & Marketing","Master's & above","m","other",1,41,4,6,"No",50,"Non-Promotion"
"11236","Procurement","Bachelor's","f","other",1,59,3,5,"No",73,"Non-Promotion"
"11238","Sales & Marketing","Master's & above","m","sourcing",1,42,5,6,"No",49,"Non-Promotion"
"11240","Sales & Marketing","Master's & above","m","sourcing",1,38,5,12,"No",50,"Promotion"
"11241","Operations","Bachelor's","f","sourcing",1,30,5,7,"No",61,"Non-Promotion"
"11245","Procurement","Bachelor's","f","other",1,27,5,3,"No",81,"Promotion"
"11247","Technology","Bachelor's","f","sourcing",1,32,3,3,"No",78,"Non-Promotion"
"11248","HR","Master's & above","f","sourcing",1,39,4,7,"No",50,"Promotion"
"11250","Sales & Marketing","Master's & above","m","other",1,46,3,22,"No",48,"Non-Promotion"
"11251","Sales & Marketing","Bachelor's","m","other",1,35,5,7,"No",54,"Non-Promotion"
"11254","HR","Bachelor's","m","sourcing",1,31,3,6,"No",48,"Non-Promotion"
